!x y z r th V Ex Ey Ez Er Et
702.0 83.0 -2.1 706.889666072436 6.74298312278574 -10781.7771549018 -7711.93213371389 -898.600006853547 3938.82769958135 -7764.09731511565 13.1182597965895
702.0 83.0 -1.9 706.889666072436 6.74298312278574 -11521.0257096937 -7738.33368826563 -905.892165644717 3046.89958232736 -7791.17246049346 8.9765010694129
702.0 83.0 -1.7 706.889666072436 6.74298312278574 -11999.7003620386 -7498.6973062908 -881.133968295057 2422.52695625076 -7550.28667774827 5.42634991443412
702.0 83.0 -1.5 706.889666072436 6.74298312278574 -12479.690676894 -7297.95279548452 -876.958435353393 1808.86054454766 -7350.44047458466 -13.9975728430764
702.0 83.0 -1.3 706.889666072436 6.74298312278574 -12755.6266860618 -7050.5236263444 -856.504130080561 1446.16582740983 -7102.32115343442 -22.7368415487933
702.0 83.0 -1.1 706.889666072436 6.74298312278574 -13025.4687434212 -6797.67162787663 -809.25666158743 1125.8036121057 -6845.67057341206 -5.50500524676822
702.0 83.0 -0.9 706.889666072436 6.74298312278574 -13215.4719511433 -6552.35323124077 -768.019822669349 919.562033096274 -6597.20722686969 6.64234166159167
702.0 83.0 -0.7 706.889666072436 6.74298312278574 -13370.0597441711 -6391.55931298368 -751.695911162266 720.826353139328 -6435.60886045665 3.9735951401592
702.0 83.0 -0.5 706.889666072436 6.74298312278574 -13495.5266981944 -6276.58168864232 -744.986963961503 525.148358598572 -6320.63881802153 -2.8640516912783
702.0 83.0 -0.3 706.889666072436 6.74298312278574 -13578.5780884554 -6189.93134678286 -734.122473604784 334.760477634483 -6233.31218750516 -2.24882999975551
702.0 83.0 -0.0999999999999996 706.889666072436 6.74298312278574 -13630.5331912395 -6131.07499596321 -724.582327138047 144.553819712771 -6173.74279152559 0.314661572680715
702.0 83.0 0.100000000000001 706.889666072436 6.74298312278574 -13637.8015704931 -6128.34004802723 -725.126028450963 -31.6902902245596 -6171.09060076362 -0.546404912753118
702.0 83.0 0.300000000000001 706.889666072436 6.74298312278574 -13609.1611862513 -6169.12467356623 -732.8347389034 -191.180352568297 -6212.4982369207 -3.41303448046551
702.0 83.0 0.5 706.889666072436 6.74298312278574 -13578.0073064765 -6206.38423585431 -736.771551719903 -336.422631504121 -6249.96231294426 -2.94775526008373
702.0 83.0 0.7 706.889666072436 6.74298312278574 -13452.7366180762 -6291.30198381163 -745.425524740335 -564.469045889069 -6335.30878456824 -1.57118396923398
702.0 83.0 0.9 706.889666072436 6.74298312278574 -13335.3361491974 -6398.19252996789 -755.198364430721 -785.807567214977 -6442.60743771933 1.27421321912051
702.0 83.0 1.1 706.889666072436 6.74298312278574 -13165.4577622214 -6624.65761882448 -788.275456237549 -1041.28416860303 -6671.38980469868 -4.98350461947017
702.0 83.0 1.3 706.889666072436 6.74298312278574 -12906.057831318 -6805.77558629122 -809.328324834102 -1383.44172831688 -6853.72688987819 -4.62464020662707
702.0 83.0 1.5 706.889666072436 6.74298312278574 -12573.7637309439 -7018.0745370601 -814.825456537547 -1793.92631794899 -7065.20278568767 14.8434990497584
702.0 83.0 1.7 706.889666072436 6.74298312278574 -12238.210588173 -7209.52335555832 -829.017226719591 -2193.40312720522 -7256.99366058352 23.2290074990358
702.0 83.0 1.9 706.889666072436 6.74298312278574 -11711.4883503863 -7312.88304339933 -839.162040486582 -2832.2870003015 -7360.82955454257 25.2904251379053
702.0 83.0 2.1 706.889666072436 6.74298312278574 -11135.0942717444 -7436.63339420881 -859.758434213913 -3618.37909564899 -7486.14224646492 19.366743578568
702.0 83.0 2.3 706.889666072436 6.74298312278574 -10263.5533368433 -7089.27871858523 -844.781324613406 -4272.2438128441 -7139.43172833509 -6.54466525411416
702.0 83.0 2.5 706.889666072436 6.74298312278574 -9361.91808650005 -6729.65211005621 -805.782121134372 -4758.33904572661 -6777.71359133529 -10.0410633261911
702.0 83.0 2.7 706.889666072436 6.74298312278574 -8379.40998331566 -6251.82710985322 -742.933133836471 -5101.05388515349 -6295.81431845312 -3.73100635356407
702.0 83.0 2.9 706.889666072436 6.74298312278574 -7377.95164850758 -5951.68233236233 -690.113227092956 -5070.64800527686 -5991.54379876459 13.4818043383899
702.0 83.0 3.1 706.889666072436 6.74298312278574 -6394.56958111901 -5745.92955073819 -646.079754898831 -4958.99042433591 -5782.04401683244 33.0520672371748
702.0 83.0 3.3 706.889666072436 6.74298312278574 -5395.43117749916 -5657.9888496824 -631.967413188004 -4670.86374813215 -5693.05460374245 36.7411658596787
702.0 83.0 3.5 706.889666072436 6.74298312278574 -4517.98341774585 -6246.91090016355 -718.833622885524 -4074.16300241835 -6288.1024521284 19.6245639365665
702.0 83.0 3.7 706.889666072436 6.74298312278574 -3782.80702314803 -7132.75516549616 -878.820227869012 -3273.85400336517 -7186.60414618491 -35.2432952744736
702.0 83.0 3.9 706.889666072436 6.74298312278574 -3476.33882035967 -7241.12207765346 -975.195940680446 -373.159989384347 -7305.53749679518 -118.228376964096
